ID,Address,City,Current Price,RMS Total,Style,Beds,Full Baths,Half Baths,Year Built
A2069351,100 10A Street NW Unit#802,Calgary,"$10,000,000.00 ","4,715",High-Rise (5+),3,3,1,2026
A2058748,300 37 Avenue SW,Calgary,"$9,800,000.00 ","7,049",2 Storey,3,3,1,2016
A2022021,717 Royal Avenue SW,Calgary,"$9,500,000.00 ","5,743",3 Storey,5,5,1,1910
A1210890,4111 162 Avenue SW,Calgary,"$8,000,000.00 ","9,031","2 Storey, Acreage with Residence",5,4,2,2011
A2062122,40 Eagle Ridge Place SW,Calgary,"$7,995,000.00 ","5,434",Bungalow,5,5,2,1971
A1172113,738 1 Avenue SW Unit#1307,Calgary,"$7,988,000.00 ","3,544",High-Rise (5+),2,2,1,2019
A2056611,2915 Wolfe Street SW,Calgary,"$6,500,000.00 ","4,517",2 Storey,3,4,1,2015
A2051675,6811 89 Avenue NE,Calgary,"$6,500,000.00 ","1,185","Acreage with Residence, Bungalow",3,1,1,1973
A2063937,860 Hillcrest Avenue SW,Calgary,"$6,250,000.00 ","5,813",3 Storey,6,6,2,2019
A1118154,738 1 Avenue SW Unit#1110,Calgary,"$5,999,900.00 ","2,833",High-Rise (5+),3,3,1,2019
A2057300,105 Aspen Ridge Heights SW,Calgary,"$4,999,900.00 ","5,048",2 Storey,6,6,2,2019
A2057226,4308 Coronation Drive SW,Calgary,"$4,998,000.00 ","6,143",3 Storey,5,7,3,2021
A2052278,616 Crescent Road NW,Calgary,"$4,995,000.00 ","4,867",2 Storey,5,4,1,2015
A2005782,400 Eau Claire Avenue SW Unit#1801,Calgary,"$4,850,000.00 ","5,255",Penthouse,3,3,2,1995
A2024804,1204 Beverley Boulevard SW,Calgary,"$4,650,000.00 ","5,084",2 Storey,5,4,2,2008
A2060166,2320 Juniper Road NW,Calgary,"$4,490,000.00 ","3,132",5 Level Split,4,3,2,2002
A2040799,145 38A Avenue SW,Calgary,"$4,070,000.00 ","4,713",1 and Half Storey,3,3,2,2009
A2057442,7232 Bow Crescent NW,Calgary,"$4,000,000.00 ",894,"Acreage with Residence, Bungalow",2,1,0,1930
A2059920,3410 9 Street SW,Calgary,"$3,999,000.00 ","4,196",2 Storey,6,7,2,2014
A2075654,80 Willow Park Green SE,Calgary,"$3,995,000.00 ","4,685",2 Storey,3,3,2,2005
A2035692,1320 Prospect Avenue SW,Calgary,"$3,980,000.00 ","6,057",2 and Half Storey,4,6,1,1998
A2052306,1104 Drury Avenue NE,Calgary,"$3,899,900.00 ","4,020",3 Storey,4,4,1,2017
A2073076,113 Massey Place SW,Calgary,"$3,800,000.00 ","5,602",2 Storey,6,4,1,2008
A2060113,4323 Anne Avenue SW,Calgary,"$3,750,000.00 ","4,178",2 Storey,6,6,2,2014
A2066969,19 Elveden Place SW,Calgary,"$3,700,000.00 ","8,179",3 Storey,8,7,1,2011
