"#","ML #","Address","City","St","Current Price","RMS Total","Style","Rooms Above Grade","Beds","Full Baths","Half Baths","Ensuite YN","Year Built","# FP","DOM"
"1","A2069351","100 10A Street NW Unit#802","Calgary","A","$10,000,000.00","4,715","High-Rise (5+)","6","3","3","1","Yes","2026","2","32"
"1","A2058748","300 37 Avenue SW","Calgary","A","$9,800,000.00","7,049","2 Storey","14","3","3","1","Yes","2016","2","70"
"1","A2022021","717 Royal Avenue SW","Calgary","A","$9,500,000.00","5,743","3 Storey","14","5","5","1","Yes","1910","1","192"
"1","A1210890","4111 162 Avenue SW","Calgary","A","$8,000,000.00","9,031","2 Storey, Acreage with Residence","14","5","4","2","Yes","2011","3","483"
"1","A2062122","40 Eagle Ridge Place SW","Calgary","A","$7,995,000.00","5,434","Bungalow","11","5","5","2","Yes","1971","5","56"
"1","A1172113","738 1 Avenue SW Unit#1307","Calgary","A","$7,988,000.00","3,544","High-Rise (5+)","9","2","2","1","Yes","2019","2","589"
"1","A2056611","2915 Wolfe Street SW","Calgary","A","$6,500,000.00","4,517","2 Storey","8","3","4","1","Yes","2015","5","76"
"1","A2051675","6811 89 Avenue NE","Calgary","A","$6,500,000.00","1,185","Acreage with Residence, Bungalow","5","3","1","1","No","1973","0","96"
"1","A2063937","860 Hillcrest Avenue SW","Calgary","A","$6,250,000.00","5,813","3 Storey","11","6","6","2","Yes","2019","2","41"
"1","A1118154","738 1 Avenue SW Unit#1110","Calgary","A","$5,999,900.00","2,833","High-Rise (5+)","6","3","3","1","Yes","2019","1","811"
"1","A2057300","105 Aspen Ridge Heights SW","Calgary","A","$4,999,900.00","5,048","2 Storey","9","6","6","2","Yes","2019","2","67"
"1","A2057226","4308 Coronation Drive SW","Calgary","A","$4,998,000.00","6,143","3 Storey","10","5","7","3","Yes","2021","5","63"
"1","A2052278","616 Crescent Road NW","Calgary","A","$4,995,000.00","4,867","2 Storey","10","5","4","1","Yes","2015","4","89"
"1","A2005782","400 Eau Claire Avenue SW Unit#1801","Calgary","A","$4,850,000.00","5,255","Penthouse","17","3","3","2","Yes","1995","1","319"
"1","A2024804","1204 Beverley Boulevard SW","Calgary","A","$4,650,000.00","5,084","2 Storey","10","5","4","2","Yes","2008","5","156"
"1","A2060166","2320 Juniper Road NW","Calgary","A","$4,490,000.00","3,132","5 Level Split","9","4","3","2","Yes","2002","1","67"
"1","A2040799","145 38A Avenue SW","Calgary","A","$4,070,000.00","4,713","1 and Half Storey","4","3","3","2","Yes","2009","0","134"
"1","A2057442","7232 Bow Crescent NW","Calgary","A","$4,000,000.00","894","Acreage with Residence, Bungalow","5","2","1","0","No","1930","1","67"
"1","A2059920","3410 9 Street SW","Calgary","A","$3,999,000.00","4,196","2 Storey","10","6","7","2","Yes","2014","4","64"
"1","A2075654","80 Willow Park Green SE","Calgary","A","$3,995,000.00","4,685","2 Storey","10","3","3","2","Yes","2005","6","4"
"1","A2035692","1320 Prospect Avenue SW","Calgary","A","$3,980,000.00","6,057","2 and Half Storey","11","4","6","1","Yes","1998","6","151"
"1","A2052306","1104 Drury Avenue NE","Calgary","A","$3,899,900.00","4,020","3 Storey","7","4","4","1","Yes","2017","1","95"
"1","A2073076","113 Massey Place SW","Calgary","A","$3,800,000.00","5,602","2 Storey","14","6","4","1","Yes","2008","2","17"
"1","A2060113","4323 Anne Avenue SW","Calgary","A","$3,750,000.00","4,178","2 Storey","11","6","6","2","Yes","2014","4","68"
"1","A2066969","19 Elveden Place SW","Calgary","A","$3,700,000.00","8,179","3 Storey","17","8","7","1","Yes","2011","0","25"
